Response Date,Customer Segment,NPS Score (0-10),Verbatim Feedback
12/07/2026,High Value,8,No strong feelings either way.
01/05/2026,Mid Value,9,Simple and it just works.
13/06/2026,High Value,9,Been recommending this to everyone I know.
16/05/2026,Low Value,8,"It's fine, does the job."
12/07/2026,High Value,3,Slow to respond to issues.
22/05/2026,High Value,7,"It's fine, does the job."
23/07/2026,Mid Value,9,Been recommending this to everyone I know.
15/07/2026,Low Value,10,"Great value, will keep buying."
28/05/2026,Mid Value,8,Works but nothing special.
13/06/2026,High Value,7,"It's fine, does the job."
25/06/2026,High Value,6,Support has gone downhill.
21/05/2026,Low Value,6,Considering switching to a competitor.
08/05/2026,High Value,9,Simple and it just works.
06/05/2026,High Value,10,"Great value, will keep buying."
08/05/2026,Low Value,5,Slow to respond to issues.
01/05/2026,High Value,5,Price increase wasn't worth it.
05/06/2026,Low Value,8,"It's fine, does the job."
23/07/2026,Mid Value,7,No strong feelings either way.
22/05/2026,High Value,5,Slow to respond to issues.
22/05/2026,Low Value,9,"Exactly what we needed, no complaints."
27/07/2026,High Value,8,No strong feelings either way.
12/07/2026,Mid Value,9,"Exactly what we needed, no complaints."
09/07/2026,Mid Value,9,"Exactly what we needed, no complaints."
12/07/2026,High Value,5,Price increase wasn't worth it.
08/05/2026,High Value,7,"It's fine, does the job."
03/06/2026,Mid Value,9,Simple and it just works.
03/06/2026,Low Value,9,"Great value, will keep buying."
28/05/2026,High Value,9,Been recommending this to everyone I know.
02/06/2026,Low Value,8,"It's fine, does the job."
07/07/2026,Mid Value,6,Considering switching to a competitor.
15/07/2026,Low Value,7,"It's fine, does the job."
13/06/2026,Mid Value,10,Been recommending this to everyone I know.
22/05/2026,Mid Value,6,Slow to respond to issues.
25/06/2026,Low Value,5,Support has gone downhill.
20/06/2026,High Value,3,Support has gone downhill.
27/07/2026,High Value,8,"It's fine, does the job."
15/07/2026,Low Value,10,Simple and it just works.
10/05/2026,Mid Value,4,Support has gone downhill.
26/07/2026,Mid Value,4,Slow to respond to issues.
02/06/2026,Low Value,4,Slow to respond to issues.
08/05/2026,Low Value,6,Slow to respond to issues.
25/06/2026,Low Value,5,Support has gone downhill.
13/06/2026,Mid Value,5,Price increase wasn't worth it.
26/07/2026,Low Value,4,Considering switching to a competitor.
19/05/2026,High Value,4,Considering switching to a competitor.
10/05/2026,Low Value,9,Been recommending this to everyone I know.
24/06/2026,Mid Value,8,"It's fine, does the job."
26/07/2026,Low Value,9,Simple and it just works.
09/07/2026,High Value,6,Price increase wasn't worth it.
28/05/2026,Low Value,7,Works but nothing special.
16/05/2026,Low Value,6,Slow to respond to issues.
11/06/2026,Mid Value,8,Works but nothing special.
22/05/2026,Mid Value,7,No strong feelings either way.
17/05/2026,Low Value,10,"Exactly what we needed, no complaints."
08/05/2026,Low Value,8,No strong feelings either way.
20/06/2026,Mid Value,5,Considering switching to a competitor.
11/06/2026,Mid Value,8,Works but nothing special.
22/05/2026,Low Value,9,"Exactly what we needed, no complaints."
14/07/2026,Mid Value,10,"Great value, will keep buying."
22/05/2026,Mid Value,5,Slow to respond to issues.
18/05/2026,Mid Value,6,Price increase wasn't worth it.
11/06/2026,Mid Value,7,No strong feelings either way.
07/07/2026,Mid Value,4,Price increase wasn't worth it.
07/07/2026,Low Value,7,Works but nothing special.
02/06/2026,High Value,4,Price increase wasn't worth it.
21/05/2026,Low Value,7,No strong feelings either way.
09/07/2026,High Value,4,Support has gone downhill.
17/05/2026,Mid Value,7,No strong feelings either way.
